Source,Target,Weight,Type
UNLV,New Mexico,3,Directed
USC, Notre Dame,3,Directed
USC,Stanford,3,Directed
USC,Washington,3,Directed
UT Martin,Arkansas State,3,Directed
Utah,USC,3,Directed
Utah State,Louisiana Tech,3,Directed
UTEP,Hawaii,3,Directed
UTEP,Memphis,3,Directed
UTEP,Middle Tennessee,3,Directed
UTEP,New Mexico,3,Directed
UTEP,Oklahoma,3,Directed
UTEP,Tulsa,3,Directed
UTEP,UAB,3,Directed
UTEP,UCF,3,Directed
UTEP,UTSA,3,Directed
Virginia,Maryland,3,Directed
Wake Forest,NC State,3,Directed
Wake Forest,Notre Dame,3,Directed
Wake Forest,Syracuse,3,Directed
Washington, USC,3,Directed
Washington,Arizona State,3,Directed
Washington,Notre Dame,3,Directed
Washington State,Arizona,3,Directed
Washington State,UCLA,3,Directed
West Virginia,Syracuse,3,Directed
Western Illinois,Illinois,3,Directed
Western Kentucky,Florida Atlantic,3,Directed
Western Michigan,Ball State,3,Directed
Wisconsin,Michigan State,3,Directed
Wisconsin,Penn State,3,Directed
 (FCS) New Hampshire,Toledo,2,Directed
 Arizona,UCLA,2,Directed
 Arizona State,Arizona,2,Directed
 Arizona State,California,2,Directed
 Arizona State,Oregon State,2,Directed
 Arkansas,Alabama,2,Directed
 Auburn,Alabama,2,Directed
 Auburn,Clemson,2,Directed
 Boise State,Washington,2,Directed
 California,Arizona,2,Directed
 California,USC,2,Directed
 Colorado,USC,2,Directed
 Florida,Alabama,2,Directed
 Florida State,Georgia Tech,2,Directed
 Houston,SMU,2,Directed
 Kansas State,Baylor,2,Directed
 Maine,UMass,2,Directed
 Maryland,Florida State,2,Directed
 Miami (FL),Florida State,2,Directed
 Miami (FL),Virginia,2,Directed
 Michigan State,Nebraska,2,Directed
 Missouri,Oklahoma,2,Directed
 Nebraska,Missouri,2,Directed
 New Hampshire,UMass,2,Directed
 North Carolina,Georgia Tech,2,Directed
 Notre Dame,USC,2,Directed
 Ohio State,Penn State,2,Directed
 Ohio State,Wisconsin,2,Directed
 Oklahoma,Baylor,2,Directed
 Oklahoma,Nebraska,2,Directed
 Oklahoma,Texas A&M,2,Directed
 Ole Miss,Alabama,2,Directed
 Oregon,California,2,Directed
 Oregon,USC,2,Directed
 Penn State,Michigan State,2,Directed
 South Carolina,Alabama,2,Directed
 South Florida,Rutgers,2,Directed
 Stanford,USC,2,Directed
 TCU,Baylor,2,Directed
 Tennessee,Alabama,2,Directed
 Texas,Baylor,2,Directed
 Texas,Kansas State,2,Directed
 UCLA,California,2,Directed
 Virginia Tech,Boston College,2,Directed
 Virginia Tech,Syracuse,2,Directed
 Washington,UCLA,2,Directed
 Washington State,Washington,2,Directed
 Wisconsin,Penn State,2,Directed
Air Force,Notre Dame,2,Directed
Akron,Ball State,2,Directed
Akron,Indiana,2,Directed
Akron,Marshall,2,Directed
Akron,Virginia,2,Directed
Alabama, Auburn,2,Directed
Alabama, Georgia,2,Directed
Alabama, Tennessee,2,Directed
Alcorn State,Georgia Tech,2,Directed
Alcorn State,Southern Miss,2,Directed
American International,UMass,2,Directed
Arizona, Stanford,2,Directed
Arizona, UCLA,2,Directed
Arizona, Utah,2,Directed
Arizona,BYU,2,Directed
Arizona,New Mexico,2,Directed
Arizona,Wisconsin,2,Directed
Arizona State,Arizona,2,Directed
Arizona State,Colorado,2,Directed
Arizona State,Washington,2,Directed
Arkansas,Mississippi State,2,Directed
Arkansas,Missouri,2,Directed
Arkansas,Rutgers,2,Directed
Arkansas,Vanderbilt,2,Directed
Arkansas–Pine Bluff,Arkansas State,2,Directed
Arkansas State,Alabama,2,Directed
Arkansas State,Appalachian State,2,Directed
Arkansas State,Illinois,2,Directed
Arkansas State,Missouri,2,Directed
Arkansas State,North Texas,2,Directed
Arkansas State,Southern Miss,2,Directed
Arkansas State,Toledo,2,Directed
Arkansas State,Western Kentucky,2,Directed
Army,Ball State,2,Directed
Army,Buffalo,2,Directed
Army,Hawaii,2,Directed
Army,Memphis,2,Directed
Austin Peay,Memphis,2,Directed
Ball State,Boston College,2,Directed
Ball State,Bowling Green,2,Directed
Ball State,Clemson,2,Directed
Ball State,Illinois,2,Directed
Ball State,Kent State,2,Directed
Ball State,Missouri,2,Directed
Ball State,Western Kentucky,2,Directed
Baylor, Oklahoma State,2,Directed
Baylor, Texas A&M,2,Directed
Baylor,Colorado,2,Directed
Baylor,Kansas,2,Directed
Baylor,Oklahoma State,2,Directed
